Date,Portfolio Value
2010-12-08,4361.282585039883
2010-12-09,4360.3541840437565
2010-12-10,4375.793953252032
2010-12-13,4382.788606501189
2010-12-14,4401.188847623293
2010-12-15,4393.875489554571
2010-12-16,4409.897990489339
2010-12-17,4407.083201507133
2010-12-20,4401.798543799854
2010-12-21,4422.90234554763
2010-12-22,4432.999783085979
2010-12-23,4438.368704699724
2010-12-27,4431.289413037851
2010-12-28,4439.154793320486
2010-12-29,4442.928318305147
2010-12-30,4436.918991002262
2010-12-31,4439.91017242867
2011-01-03,4475.667280257708
2011-01-04,4483.501951027764
2011-01-05,4495.662543502646
2011-01-06,4485.8527267650325
2011-01-07,4477.2050029241445
2011-01-10,4462.896991606266
2011-01-11,4476.100583990067
2011-01-12,4508.145585859603
2011-01-13,4499.118112680242
2011-01-14,4520.394187303459
2011-01-18,4539.779754371836
2011-01-19,4534.932519965677
2011-01-20,4533.977529025732
2011-01-21,4552.784109430127
2011-01-24,4594.462161086823
2011-01-25,4593.185469277305
2011-01-26,4596.3492980854035
2011-01-27,4598.032703683463
2011-01-28,4534.322823789116
2011-01-31,4560.48845202485
2011-02-01,4617.3340068453745
2011-02-02,4618.027966928401
2011-02-03,4625.809083304571
2011-02-04,4637.271970633916
2011-02-07,4663.916966870877
2011-02-08,4691.3446811723425
2011-02-09,4693.929148810208
2011-02-10,4689.864257962302
2011-02-11,4706.726401911719
2011-02-14,4704.782339962992
2011-02-15,4688.8478479972
2011-02-16,4712.444363351357
2011-02-17,4723.93758568703
2011-02-18,4751.974996165056
2011-02-22,4683.536600346103
2011-02-23,4642.498954378547
2011-02-24,4628.202178248197
2011-02-25,4651.959731290267
2011-02-28,4688.732874578156
2011-03-01,4624.182977162908
2011-03-02,4627.550162865278
2011-03-03,4700.951141015685
2011-03-04,4667.080795678977
2011-03-07,4636.4589175630845
2011-03-08,4684.146296522665
2011-03-09,4683.651573765148
2011-03-10,4596.030967772089
2011-03-11,4618.960112987038
2011-03-14,4599.309769999233
2011-03-15,4546.487161326507
2011-03-16,4453.635452020057
